"","EEG.Anlagenschluessel","Hersteller.der.Windenergieanlage","Typenbezeichnung","Leistung","Inbetriebnahmedatum.der.Einheit","Gemeindeschluessel","Koordinate..Breitengrad..WGS84.","Koordinate..Laengengrad..WGS84.","Nabenhoehe.der.Windenergieanlage","Rotordurchmesser.der.Windenergieanlage"
"984","E3123801V000000000000038849400823","Senvion Deutschland GmbH","Repower 3.4M104","3370 ","19.12.2014",7331015,"49,751525","8,266347","128","104"
"985","E3123801V000000000000038849406188","Senvion Deutschland GmbH","Repower 3.4M104","3370 ","04.06.2015",7331015,"49,748773","8,267707","128","104"
"986","E3123801V000000000000038849406189","Senvion Deutschland GmbH","Repower 3.4M104","3370 ","04.06.2015",7331015,"49,746156","8,269329","128","104"
"987","E31238010000000000000069475821495","REpower Systems SE","MD77","1500 ","13.07.2010",7232077,"49,878343","6,515727","","77"
"988","E31238010000000000000069475821494","","","1500 ","17.07.2010",7232077,"49,87663","6,511639","",""
"989","E31238010000000000000011115080697","VENSYS Energy AG","V77","1500 ","29.12.2009",7235114,"49,690041","6,895224","","77"
"990","E31238010000000000000011115080695","VENSYS Energy AG","V77","1500 ","30.12.2009",7235114,"49,691497","6,89164","","77"
"991","E31238010000000000000011115023665","VENSYS Energy AG","V82","1500 ","25.03.2011",7235114,"49,687656","6,904489","","82"
"992","E31238010000000000000075954050989","Vestas Deutschland GmbH","V90","2000 ","19.02.2008",7140127,"50,060016","7,547962","105","90"
"993","E3123801V000000000000046747516572","Vestas Deutschland GmbH","V112","3300 ","30.12.2016",7233235,"50,311328","6,484659","","112"
"994","E3123801V000000000000046747515736","Vestas Deutschland GmbH","V112","3300 ","16.11.2016",7233235,"50,31105","6,477599","","112"
"995","E3123801W000000000004674601212218","Vestas Deutschland GmbH","V112","3300 ","04.11.2016",7233235,"50,312527","6,472532","","112"
"996","E31238010000000000000053249301550","ENERCON GmbH","E-58","1000 ","12.11.2003",7233232,"50,340169","6,441389","70","58"
"997","E31238010000000000000053249318044","ENERCON GmbH","E-58","1000 ","12.11.2003",7233232,"50,343302","6,439071","70","58"
"998","","ENERCON GmbH","","2300 ","26.08.2013",7140204,"49,994152","13,751648","",""
"999","","ENERCON GmbH","","2300 ","19.08.2013",7140204,"49,8999","13,785377","",""
"1000","E31238010000000000000001172406137","Senvion Deutschland GmbH","REpower 3.2M114","3200 ","29.08.2016",7134026,"49,59715","7,30215","143","114"
"1001","E31238010000000000000001172406138","Senvion Deutschland GmbH","REpower 3.2M114","3200 ","03.09.2016",7134026,"49,60582","7,29641","143","114"
"1002","E31238010000000000000001172406139","Senvion Deutschland GmbH","REpower 3.2M114","3200 ","01.09.2016",7134026,"49,60314","7,29734","143","114"
"1003","E31238010000000000000075954050991","Vestas Deutschland GmbH","V90","2000 ","22.02.2008",7140127,"50,056541","7,549812","105","90"
"1004","E3123801V000000000000031195976466","ENERCON GmbH","","2300 ","16.08.2013",7140204,"49,898822","13,690011","138.4","82"
"1005","E31238010000000000000075954050988","Vestas Deutschland GmbH","V90","2000 ","08.02.2008",7140127,"50,054799","7,552825","105","90"
"1006","E31238010000000000000075954050990","Vestas Deutschland GmbH","V90","2000 ","21.02.2008",7140127,"50,056565","7,543821","105","90"
"1007","E31238010000020120000002354110152","GE Wind Energy GmbH","1.5 sl","1500 ","08.11.2001",7333078,"49,722543","7,734702","100","77"
"1008","E3123801W000000000003880851194784","ENERCON GmbH","E-82 E2","2300 ","12.08.2016",7233237,"50,350775","6,407605","138","82"
