"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"1113",723306214,54611,"Hallschlag",500,1998-06-24,"11YR00000003039P",10003764,"E31238010000030212000001160310727",682965,7233,"Vulkaneifel",1365.93,683,"723306","Geroldstein"
"1114",723306214,54611,"Hallschlag",500,1998-07-06,"11YR00000003039P",10003764,"E31238010000030212000001161109134",691775,7233,"Vulkaneifel",1383.55,692,"723306","Geroldstein"
"1115",723306214,54611,"Hallschlag",500,1998-06-12,"11YR00000003039P",10003764,"E31238010000030212000001161901230",698039,7233,"Vulkaneifel",1396.078,698,"723306","Geroldstein"
"1116",723306214,54611,"Hallschlag",500,1998-06-28,"11YR00000003039P",10003764,"E31238010000030212000001161911805",698039,7233,"Vulkaneifel",1396.078,698,"723306","Geroldstein"
"1117",723306214,54611,"Hallschlag",500,1997-06-04,"11YR00000003039P",10003764,"E31238010000030212000001162701234",640473,7233,"Vulkaneifel",1280.946,640,"723306","Geroldstein"
"1118",723306214,54611,"Hallschlag",500,1997-06-04,"11YR00000003039P",10003764,"E31238010000030212000001162718041",640473,7233,"Vulkaneifel",1280.946,640,"723306","Geroldstein"
"1119",723306214,54611,"Hallschlag",500,1997-06-20,"11YR00000003039P",10003764,"E31238010000030212000001163501216",624267,7233,"Vulkaneifel",1248.534,624,"723306","Geroldstein"
"1120",723306214,54611,"Hallschlag",500,1997-06-06,"11YR00000003039P",10003764,"E31238010000030212000001164301226",781762,7233,"Vulkaneifel",1563.524,782,"723306","Geroldstein"
"1121",723306214,54611,"Hallschlag",1000,1998-12-16,"11YR00000003039P",10003764,"E31238010000030212000001165318727",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1130",723306214,54611,"Hallschlag",1000,1999-12-29,"11YR00000003039P",10003764,"E31238010000030212000001165350614",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1131",723306214,54611,"Hallschlag",1000,1999-12-28,"11YR00000003039P",10003764,"E31238010000030212000001165350615",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1132",723306214,54611,"Hallschlag",1000,1999-12-30,"11YR00000003039P",10003764,"E31238010000030212000001165350616",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1133",723306214,54611,"Hallschlag",1000,2000-02-29,"11YR00000003039P",10003764,"E31238010000030212000001165350617",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1134",723306214,54611,"Hallschlag",1000,2000-03-02,"11YR00000003039P",10003764,"E31238010000030212000001165350618",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1135",723306214,54611,"Hallschlag",1000,2000-03-28,"11YR00000003039P",10003764,"E31238010000030212000001165350619",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1136",723306214,54611,"Hallschlag",1000,2000-03-30,"11YR00000003039P",10003764,"E31238010000030212000001165350620",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1137",723306214,54611,"Hallschlag",1000,2000-04-13,"11YR00000003039P",10003764,"E31238010000030212000001165350621",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1138",723306214,54611,"Hallschlag",1000,2000-04-14,"11YR00000003039P",10003764,"E31238010000030212000001165350622",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1139",723306214,54611,"Hallschlag",1000,2000-04-17,"11YR00000003039P",10003764,"E31238010000030212000001165350623",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1140",723306214,54611,"Hallschlag",1000,2000-10-26,"11YR00000003039P",10003764,"E31238010000030212000001165350624",1376621,7233,"Vulkaneifel",1376.621,1377,"723306","Geroldstein"
"1141",723306214,54611,"Hallschlag",1000,2000-11-01,"11YR00000003039P",10003764,"E31238010000030212000001165350625",1376621,7233,"Vulkaneifel",1376.621,1377,"723306","Geroldstein"
"1142",723306214,54611,"Hallschlag",1000,2000-12-01,"11YR00000003039P",10003764,"E31238010000030212000001165350626",1510331,7233,"Vulkaneifel",1510.331,1510,"723306","Geroldstein"
"1143",723306214,54611,"Hallschlag",1500,2000-12-16,"11YR00000003039P",10003764,"E31238010000030212000001165350627",2089021,7233,"Vulkaneifel",1392.68066666667,2089,"723306","Geroldstein"
"1144",723306214,54611,"Hallschlag",1500,2000-12-18,"11YR00000003039P",10003764,"E31238010000030212000001165350628",2089021,7233,"Vulkaneifel",1392.68066666667,2089,"723306","Geroldstein"
"1145",723306214,54611,"Hallschlag",1500,2000-12-20,"11YR00000003039P",10003764,"E31238010000030212000001165350629",2089021,7233,"Vulkaneifel",1392.68066666667,2089,"723306","Geroldstein"
"1146",723306214,54611,"Hallschlag",1500,2000-12-21,"11YR00000003039P",10003764,"E31238010000030212000001165350630",2089021,7233,"Vulkaneifel",1392.68066666667,2089,"723306","Geroldstein"
"1147",723306214,54611,"Hallschlag",1500,2000-12-21,"11YR00000003039P",10003764,"E31238010000030212000001165350631",2089021,7233,"Vulkaneifel",1392.68066666667,2089,"723306","Geroldstein"
