"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh"
"274",714301277,56472,"Nisterau",500,1997-02-28,"E31102010000000000001274450600001",636960
"275",714302252,57629,"Kundert",1800,2003-12-30,"E31102010000000000001277342500001",2111032
"276",714302252,57629,"Kundert",1800,2003-12-19,"E31102010000000000001277342500002",2111032
"277",714301222,56472,"Fehl-Ritzhausen",1800,2004-03-30,"E31102010000000000001278035900001",2615682
"278",714309242,56462,"Höhn",1000,2004-07-09,"E31102010000000000001279811800001",1445912
"279",714306302,56477,"Waigandshain",1500,2004-12-17,"E31102010000000000002000196200001",2640145
"280",714306302,56477,"Waigandshain",1500,2004-12-17,"E31102010000000000002000196200002",2640145
"281",714306302,56477,"Waigandshain",1500,2004-12-17,"E31102010000000000002000196200003",2640145
"282",714306302,56477,"Waigandshain",1500,2004-12-17,"E31102010000000000002000196200004",2640145
"283",714306302,56477,"Waigandshain",1500,2004-12-17,"E31102010000000000002000196200005",2640145
"284",714306244,56479,"Homberg",1500,2004-12-17,"E31102010000000000002000196200006",2640145
