"","X","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh","nearest","menge_mwh","area_m2","area_km2","kwh_m2"
"121",121,"E30254010000000000005234430229628","2000","31.3.2011",7336055,49.493047,7.357079,105,90,733609041,66909,"Herschweiler-Pettersheim",2000,"2011-03-31",3412674,362,3413,131044,0.131044,26.0421995665578
"122",122,"E30254010000000000005234430229629","2000","10.3.2011",7336006,49.493163,7.36553,105,90,733609101,66909,"Wahnwegen",2000,"2011-03-10",3412676,452,3413,204304,0.204304,16.7039118176835
"123",123,"E30254010000000000005234767337518","800","13.7.2007",7336021,49.570928,7.491431,758,48,733610103,66887,"Welchweiler",800,"2007-07-13",782829,275,783,75625,0.075625,10.3514578512397
"124",124,"E30254010WEA1OBERNDORF0FLUR322006","2750","5.9.2014",7333055,49.703675,7.824258,139,120,733307055,67821,"Oberndorf",2530,"2014-09-05",5483956,550,5484,302500,0.3025,18.1287801652893
"125",125,"E30254010WEA2GOLLWALD00FLUR474306","2750","23.9.2014",7333026,49.571669,7.988501,139,120,733303026,67307,"Göllheim",2530,"2014-09-23",5468956,603,5469,363609,0.363609,15.0407608172515
"126",126,"E30254010WEA2GOLLWALD00FLUR475902","2750","4.9.2014",7333026,49.571299,7.982149,139,120,733303026,67307,"Göllheim",2530,"2014-09-04",5468956,452,5469,204304,0.204304,26.7687172057326
"127",127,"E30254010WEA2GOLLWALD00FLUR475903","2750","11.9.2014",7333026,49.573993,7.97977,139,120,733303026,67307,"Göllheim",2530,"2014-09-11",5468956,452,5469,204304,0.204304,26.7687172057326
"128",128,"E30254010WEA2GOLLWALD00FLUR476304","2750","13.9.2014",7333026,49.576934,7.976805,139,120,733303026,67307,"Göllheim",2530,"2014-09-13",5468956,466,5469,217156,0.217156,25.1844572565345
"129",129,"E30254010WEA2GOLLWALD00FLUR476305","2750","23.9.2014",7333026,49.578424,7.972446,139,120,733303026,67307,"Göllheim",2530,"2014-09-23",5468952,466,5469,217156,0.217156,25.1844388365967
"130",130,"E30254010WEA2OBERNDORF0FLUR306006","2750","1.9.2014",7333055,49.704111,7.830056,139,120,733307055,67821,"Oberndorf",2530,"2014-09-01",5483960,550,5484,302500,0.3025,18.1287933884298
"131",131,"E30254011000000000005231616306700","2000","30.12.2004",7338013,49.586441,8.284324,98,70,733806013,67259,"Heuchelheim",2000,"2004-12-30",2255677,278,2256,77284,0.077284,29.1868562703794
